																
Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Notes
0		0						0	0		0	0	0	0	0	
1	item001	Iron Longsword	20	Weapon	Sword	2d3	0	8	1	Longsword	1	0	0	14	131	Produced in great numbers, these slightly overbalanced swords are the arms of militiamen across the land.
2	item002	Trollish War Sword	200	Weapon	Sword	3d3	3	8	5	Longsword	1	0	0	16	132	Though of primitive craftsmanship, the great weight of this weapon's blade gives it excellent striking power.
3	item003	Dark Elven Longsword	450	Weapon	Sword	3d2	9	8	9	Longsword	1	0	0	14	136	The weapon of a merchantman from the Dark Elven city of Alvar. It's wavy edged blade holds a good edge.
4	item004	Templar's Sword	600	Weapon	Sword	3d2	12	8	12	Longsword	1	0	0	14	136	A sword for a true swordsman. Its lack of ornamentation bespeaks of the singular purpose of its design.
5	item005	Champion's Sword	700	Weapon	Sword	3d2	15	8	14	Longsword	1	0	0	18	138	"These are made exclusively for members of the Erathian Order of the Blade. Since by tradition they are buried with their fallen wielders on hallowed and guarded grounds, they are rare articles indeed."
6	item006	Iron Two-Handed Sword	200	Weapon2	Sword	4d4	0	8	1	Two-Handed Sword	2	0	0	16	162	This blade's great weight and length give its blows greater reach and damage. Otherwise, it is unexceptional in quality.
7	item007	Dark Elven Bastard Sword	700	Weapon2	Sword	4d5	4	8	6	Two-Handed Sword	2	0	0	18	155	"Often carried by Elven caravan guards, these slightly under-proportioned blades are nearly, but not quite, light enough to brandish single-handedly."
8	item008	Minotaur Battlesword	900	Weapon2	Sword	4d5	8	8	9	Two-Handed Sword	2	0	0	20	169	Only those possessed of great strength and balance can gracefully swing these mighty blades let alone control them in the heat of combat.
9	item009	Dragonning Blade	1500	Weapon2	Sword	4d4	16	8	13	Two-Handed Sword	2	0	0	21	171	"A deep biting, perfectly balanced weapon designed for one purpose - the slaying of dragons."
10	item010	Headsman's Reaver	2000	Weapon2	Sword	4d5	16	8	15	Two-Handed Sword	2	0	0	17	171	"Crafted from purified erudine alloy and then tempered in a pool of roiling lava, this sword's practically undullable and perfectly balanced blade backs up its intimidating appearance."
11	item011	Iron Broadsword	50	Weapon	Sword	3d3	0	8	1	Broadsword	3	0	0	21	132	Some swordsmen swear that the soft metal of an iron sword gives them certain combat advantages. Those swordsmen never seem to be very old.
12	item012	Trollish Claymore	200	Weapon	Sword	3d4	2	8	5	Broadsword	3	0	0	19	138	"Though of primitive design and craftsmanship, these Troll forged weapons are effective in strong hands."
13	item013	Lizardman Broadsword	450	Weapon	Sword	3d4	7	8	9	Broadsword	3	0	0	14	129	The Lizardmen produce a weapon capable of giving sturdy service.
14	item014	Knightly Broadsword	600	Weapon	Sword	3d4	9	8	11	Broadsword	3	0	0	12	131	The weight of this sword's untapered blade would make it unwieldy if not for its exacting counterbalance.
15	item015	Archangel Broadsword	1200	Weapon	Sword	3d4	15	8	15	Broadsword	3	0	0	20	145	"This blade of pure erudine steel can cut armor like butter and gleams with a starlight glow. There are finer swords available, but their numbers can be counted on a single hand."
16	item016	Rusty Cutlass	20	Weapon	Sword	2d3	0	7	1	Cutlass	4	0	0	19	133	"This weapon may once have been of some quality, though it would be hard to tell through the apparent years of corrosion."
17	item017	Goblin Scimitar	290	Weapon	Sword	2d4	2	7	5	Cutlass	4	0	0	20	134	"After the Gowdar Deep Goblins were wiped off the face of Jadame in the Goblin-Ogre Wars, thousands of these weapons appeared on the common market."
18	item018	Regnan Cutlass	590	Weapon	Sword	2d3	8	7	9	Cutlass	4	0	0	19	140	"Issued to Regnan seamen as a basic side arm, these blades have gained a sturdy reputation."
19	item019	Regnan Falchion	790	Weapon	Sword	2d4	8	7	11	Cutlass	4	0	0	18	143	"The extremely forward balance of this weapon's blade gives it extra striking power, but requires great strength and skill from its wielder."
20	item020	Captain's Cutlass	990	Weapon	Sword	2d3	14	7	13	Cutlass	4	0	0	25	136	"Given to Regnan captains upon gaining their first command, these superior weapons help them to dominate their foes and subordinate."
21	item021	Crude Dagger	6	Weapon	Dagger	2d1	0	6	2	Dagger	5	0	0	16	77	"As much a cutting tool and eating implement as a weapon, this dagger of soft steel will take an edge, but will lose it through very little use."
22	item022	Crystal Dagger	100	Weapon	Dagger	2d2	2	6	6	Dagger	5	0	0	12	75	"These daggers are often carried by members of the Necromancers' Guild. The crystals used for the blades are found in the Shadowspire mountains. They are incredibly sharp, but have a tendency to shatter."
23	item023	Merchantman's Dagger	150	Weapon	Dagger	2d1	4	6	8	Dagger	5	0	0	14	80	This dagger is a typical example of those produced by the weaponsmiths of Alvar. It is made of hardened steel and has excellent balance.
24	item024	Master's Dagger	225	Weapon	Dagger	1d2	6	6	10	Dagger	5	0	0	19	80	"Daggers of this quality are rare indeed. Made of erudine and rare woods, finished in gold, and set with a sizable ruby, this would be a rich man's extravagance if it were not also so effective a weapon."
25	item025	Fanged Blade	350	Weapon	Dagger	2d2	8	6	15	Dagger	5	0	0	20	45	The grip on this blade has clearly been rewrapped many times. It is said that such blades were used by the first Vampires who appeared millennia before the Silence. Could this possibly be one of those ancient weapons?
26	item026	Long Dagger	15	Weapon	Dagger	2d3	0	7	2	Long Dagger	6	0	0	15	102	"With a blade in length between sword and dagger, these weapons are meant for the knife fighter who desires a bit of extra reach. This particular weapon is of mediocre workmanship in soft steel."
27	item027	Alvarian Poignard	200	Weapon	Dagger	2d3	2	7	5	Long Dagger	6	0	0	14	105	"At many social functions in Alvar, it is deemed inappropriate to carry a sword. It is common for Elven warriors to carry a smaller blade in case things become uncivil."
28	item028	Regnan Fighting Knife	350	Weapon	Dagger	2d2	6	7	9	Long Dagger	6	0	0	13	103	"Not wishing to be encumbered by a shield, many Regnan pirate raiders fight with a cutlass in one hand and one of these shorter blades in the other."
29	item030	Twilight Kris	500	Weapon	Dagger	2d3	6	7	11	Long Dagger	6	0	0	20	106	This wavy bladed long dagger of the best quality steel is the product of the Twilight weaponsmiths. The bat wing guard set with a blood red ruby marks it as the weapon of a Vampire.
30	item029	Dueling Long Dagger	750	Weapon	Dagger	2d2	9	7	13	Long Dagger	6	0	0	19	103	"While they present a united front to the rest of the world, there is much internal strife among the Vampires of Shadowspire. By custom, very serious differences are settled in battle using these deadly blades of exquisite craftwork."
31	item031	Stone Axe	20	Weapon	Axe	3d2	0	5	1	Axe	7	0	0	30	84	"Not much more than fire-hardened sticks lashed to sharp stones, these crude implements make for poor tools and weapons."
