	Archer	WarriorMage	MasterArcher	Sniper	Cleric	Priest	PriestLight	PriestDark	DarkElf	Patriarch	Dragon	GreatWyrm	Druid	GreatDruid	Warlock	ArchDruid	Knight	Cavalier	BlackKnight	Champion	Minotaur	MinotaurLord	Monk	Initiate	Master	Ninja	Paladin	Crusader	Hero	Villain	Ranger	Hunter	BountyHunter	RangerLord	Thief	Rogue	Assassin	Spy	Troll	WarTroll	Vampire	Nosferatu	Sorcerer	Wizard	Necromancer	Lich	ArchMage	Dark Archmage	Peasant	n/u	High Priest	Master Wizard	n/u	Seraphim	Angel	Archangel	Death Knight	Death Lord	Lich King	Shaman	Sekhem	Marabou	Elementalist	Elemental Adept	Master of Elements
Staff	E	M	M	M	B	B	B	B	-	-	-	-	E	M	M	M	M	M	G	G	M	M	M	M	G	G	E	M	M	M	E	E	E	E	-	-	-	-	M	G	E	M	M	M	M	M	M	M	-	-	B	M	M	E	E	E	-	-	-	E	M	M	E	E	M
Sword	E	M	M	M	-	-	-	-	M	M	-	-	-	-	-	-	M	M	G	G	E	M	E	E	E	E	M	M	M	M	E	M	M	M	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-	-	-	-	M	M	G	M	M	G	-	-	-	-	-	-
Dagger	E	M	M	M	-	-	-	-	M	M	-	-	M	M	M	M	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	M	M	G	G	E	E	M	G	E	M	E	M	M	M	-	-	-	M	E	-	-	-	-	-	-	E	M	M	E	E	E
Axe	E	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	M	M	G	G	M	G	-	-	-	-	E	M	M	M	E	M	G	G	-	-	-	-	M	M	E	E	-	-	-	-	-	-	-	-	-	-	-	E	E	E	M	M	G	E	M	M	-	-	-
Spear	E	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	M	M	G	G	M	M	E	E	E	E	E	M	M	M	E	M	G	M	-	-	-	-	E	M	-	-	-	-	-	-	-	-	-	-	-	-	-	M	M	G	-	-	-	E	M	M	-	-	-
Bow	M	M	G	G	E	M	M	M	M	G	-	-	E	E	E	E	E	E	M	M	E	E	B	B	B	B	E	E	E	E	M	M	G	G	E	M	M	M	E	M	B	B	B	B	B	B	B	B	B	B	M	B	B	E	E	E	E	E	E	E	E	E	B	B	B
Mace	-	-	-	-	E	M	M	M	B	B	-	-	E	E	E	E	M	M	M	M	M	M	-	-	-	-	M	M	G	G	-	-	-	-	E	E	E	E	M	G	E	M	-	-	-	-	-	-	-	-	M	-	-	E	M	M	M	M	M	E	M	M	E	E	E
Blaster	G	G	G	G	G	G	G	G	G	G	-	-	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	B	B	G	G	G	G	G	G	G	G	G	G	G	G	-	-	-
Shield	-	-	-	-	E	M	M	M	E	E	-	-	E	E	E	E	M	M	G	G	-	-	-	-	-	-	M	M	G	G	E	E	E	E	B	B	B	B	E	E	M	M	-	-	-	-	-	-	-	-	M	-	-	M	M	M	-	-	-	E	E	E	-	-	-
Leather	M	M	M	M	E	E	E	E	M	M	-	-	E	E	E	E	E	E	E	E	E	E	M	M	M	M	E	E	E	E	M	M	M	M	M	M	G	G	M	G	M	M	E	M	E	M	M	M	B	B	E	M	E	E	E	E	E	E	E	E	M	M	E	E	M
Chain	M	M	G	G	E	E	M	M	M	G	-	-	-	-	-	-	M	M	M	M	M	G	-	-	-	-	M	M	M	M	M	M	M	M	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	M	-	-	M	M	M	M	M	M	E	E	E	-	-	-
Plate	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	M	G	G	E	E	-	-	-	-	M	M	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	M	M	M	M	G	-	-	-	-	-	-
