	Archer	WarriorMage	MasterArcher	Sniper	Cleric	Priest	PriestLight	PriestDark	DarkElf	Patriarch	Dragon	GreatWyrm	Druid	GreatDruid	Warlock	ArchDruid	Knight	Cavalier	BlackKnight	Champion	Minotaur	MinotaurLord	Monk	Initiate	Master	Ninja	Paladin	Crusader	Hero	Villain	Ranger	Hunter	BountyHunter	RangerLord	Thief	Rogue	Assassin	Spy	Troll	WarTroll	Vampire	Nosferatu	Sorcerer	Wizard	Necromancer	Lich	ArchMage	Dark Archmage	Peasant	n/u	High Priest	Master Wizard	n/u	Seraphim	Angel	Archangel	Death Knight	Death Lord	Lich King	Shaman	Sekhem	Marabou
Staff	E	M	M	M	N	N	N	N	=	=	=	=	E	M	M	M	E	E	G	G	M	M	M	M	G	G	E	M	M	M	E	E	E	E	=	=	=	=	M	G	E	M	M	M	M	M	M	M	=	=	N	M	M	E	E	E	=	=	=	E	M	M
Sword	E	M	M	M	=	=	=	=	M	M	=	=	=	=	=	=	M	M	G	G	E	M	E	E	E	E	M	M	M	M	E	M	M	M	M	M	M	M	M	M	M	M	=	=	=	=	=	=	=	=	=	=	=	M	M	G	M	M	G	=	=	=
Dagger	M	M	G	G	=	=	=	=	M	M	=	=	M	M	M	M	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	M	M	G	G	E	E	M	G	E	M	E	M	M	M	=	=	=	M	E	=	=	=	=	=	=	E	M	M
Axe	E	M	M	M	=	=	=	=	=	=	=	=	=	=	=	=	E	E	M	M	M	G	=	=	=	=	E	M	M	M	E	M	G	G	=	=	=	=	M	M	E	E	=	=	=	=	=	=	=	=	=	=	=	E	E	E	M	M	G	E	M	M
Spear	E	M	M	M	=	=	=	=	=	=	=	=	=	=	=	=	M	M	G	G	M	M	E	E	E	E	E	M	M	M	E	M	G	G	=	=	=	=	E	M	=	=	=	=	=	=	=	=	=	=	=	=	=	M	M	G	=	=	=	E	M	M
Bow	M	M	G	G	E	M	M	M	M	G	=	=	E	E	E	E	E	E	M	M	E	E	N	N	N	N	E	E	E	E	M	M	G	G	E	M	M	M	E	M	N	N	N	N	N	N	N	N	N	N	M	N	N	E	E	E	E	E	E	E	E	E
Mace	=	=	=	=	E	M	M	M	N	N	=	=	E	E	E	E	M	M	M	M	M	M	=	=	=	=	M	M	G	G	=	=	=	=	E	E	E	E	M	G	E	M	=	=	=	=	=	=	=	=	M	=	=	E	M	M	M	M	M	E	M	M
Blaster	G	G	G	G	G	G	G	G	G	G	=	=	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	N	N	G	G	G	G	G	G	G	G	G	G	G	G
Shield	=	=	=	=	E	M	M	M	E	E	=	=	E	E	E	E	M	M	G	G	=	=	=	=	=	=	M	M	G	G	E	E	E	E	N	N	N	N	E	E	M	M	=	=	=	=	=	=	=	=	M	=	=	M	M	M	=	=	=	E	E	E
Leather	M	M	M	M	E	E	E	E	M	M	=	=	E	E	E	E	E	E	E	E	E	E	M	M	M	M	E	E	E	E	M	M	M	M	M	M	G	G	M	G	M	M	E	M	E	M	M	M	N	N	E	M	E	E	E	E	E	E	E	E	M	M
Chain	M	M	G	G	E	E	M	M	M	G	=	=	=	=	=	=	M	M	M	M	M	G	=	=	=	=	M	M	M	M	M	M	M	M	E	E	E	E	E	E	E	E	=	=	=	=	=	=	=	=	M	=	=	M	M	M	M	M	M	E	E	E
Plate	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	M	M	G	G	E	E	=	=	=	=	M	M	G	G	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	M	M	M	M	M	G	=	=	=
Fire	E	M	G	G	=	=	=	=	E	M	=	=	E	M	G	G	=	=	=	=	=	=	=	=	=	=	=	=	=	=	E	E	M	M	=	E	M	M	=	=	=	=	E	M	M	G	G	G	=	=	=	G	G	=	=	=	=	=	=	E	M	G
Air	E	M	G	G	=	=	=	=	E	M	=	=	E	M	G	G	=	=	=	=	=	=	=	=	=	=	=	=	=	=	E	E	M	M	=	E	M	M	=	=	=	=	E	M	M	G	G	G	=	=	=	G	G	=	=	=	=	=	=	E	M	G
Water	E	M	G	G	=	=	=	=	E	G	=	=	E	M	G	G	=	=	=	=	=	=	=	=	=	=	=	=	=	=	E	E	G	G	=	E	M	M	=	=	=	=	E	M	M	G	G	G	=	=	=	G	G	=	=	=	E	M	G	E	M	G
Earth	E	M	G	G	=	=	=	=	E	M	=	=	E	M	G	G	=	=	=	=	=	=	=	=	=	=	=	=	=	=	E	E	M	M	=	E	M	M	=	=	=	=	E	M	M	G	G	G	=	=	=	G	G	=	=	=	=	=	=	E	M	G
Spirit	=	=	=	=	E	M	G	G	=	=	=	=	E	M	G	G	=	=	=	=	E	M	=	N	E	E	E	M	G	G	E	E	M	M	=	=	=	=	=	=	E	M	=	=	=	=	=	=	=	=	G	=	=	E	M	M	=	=	=	E	M	G
Mind	=	=	=	=	E	M	G	G	=	=	=	=	E	M	G	G	=	=	=	=	E	M	=	N	E	E	E	M	G	G	E	E	M	M	=	=	=	=	=	=	M	G	=	=	=	=	=	=	=	=	G	=	=	E	M	M	=	=	=	E	M	G
Body	=	=	=	=	E	M	G	G	=	=	=	=	E	M	G	G	=	=	=	=	E	M	=	N	E	E	E	M	M	M	E	E	M	M	=	=	=	=	=	=	E	M	=	=	=	=	=	=	=	=	G	=	=	E	M	M	E	M	G	E	M	G
Light	=	=	G	=	=	=	G	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	G	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	G	=	=	=	G	G	G	M	M	G	=	=	=	=	=	=
Dark	=	=	=	G	=	=	=	G	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	G	=	=	=	=	=	=	=	=	=	=	=	=	=	=	M	G	=	G	=	=	G	G	G	=	=	=	E	M	G	=	=	=
DarkElfAbility	=	=	=	=	=	=	=	=	M	G	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=
